id;altura;ano_de_construccion;balcon_terraza;banos;categoria;costos_de_mantenimiento;direccion_exacta;enviado;localizacion;m2;m2.1;m2_de_construccion;niveles;parking;piscina;piso_numero;precio;precio_m2_de_construccion;precio_m2_de_terreno;precio_m2;recamaras;tamano_del_lote;tipo_de_pisos;description;feature;land_sq_meter;title
10885302;;NA;terraza;3.5;;220;;21/10/2020;Santa Ana;;NA;217;NA;2;si;;269000;1,239.63;996.29;;3;270;;;;NA;
11089430;;2018;terraza;;;NA;;2/11/2020;Santa Ana;;NA;NA;4;;si;;360000;1,333.33;1,607.14;;3;224;Porcelanato;;;NA;
11717462;;NA;terraza;2.5;;NA;;;;;NA;254;2;2;no;;NA;;;;3;;Porcelanato;;Dispensador de agua caliente  Calentador de agua;NA;
11743717;;NA;;2.5;Casas;NA;;25/10/2020;San Rafael;;NA;150;NA;3;;;298000;66.22;;;;;;"Casa hermosa  muy comoda  con excelente distribucion  amplios espacios  buena ventilacion y mucha luz natural 

Condominio con excelentes amenidades y siendo la excelente ubicacion su caracteristica mas representiva 

Caracteristicas 

  150 m2 area habitable 

  183 m2 terreno 

  3 dormitorios 

  2 5 banos

  3 espacios de parqueos

  bodega 

  Hermosa terraza 

 Mascotas bienvenidas 

  Acabados en granito y madera 

  Patio 

  Area de lavado 

  Walk in closet 

  2 plantas 

Sobre condominio 
  Cableado subterraneo

  Seguridad 24 7 

  parqueo de visitas

  Piscina 

  BBQ 

  Parqueo para visitantes 

  Casa Club 

  Area infantil 

Precio  165 000

Codigo  RC171

Agente  Rocio Chavarria ";Dispensador de agua caliente  Calentador de agua;NA;Casas en Santa Ana   VENTA CASA SANTA ANA 165 000 SANTA ANA RC171
11980900;;NA;terraza;1;Casas;NA;Alajuelita Condominio Terrazas del Norte de Concasa;02/11/2020 01/11/2020;Alajuelita San Rafael;;NA;95;NA;2;si;;95081.96721311475;₡610,526 1,186.66;₡483,333 801.80;;3;120 111;;"Hermosa casa a tan solo 5 min de San Jose Centro 
3 dormitorios
Cochera para dos Carros 
1bano 
sala   comedor   cocina
patio con Zona verde 

El condominio cuenta con  gran piscina  rancho y areas verdes";Cerca de Escuela  Pet Friendly  Cerca del Trafico  Parking de visitas  Seguridad 24 Horas  Lavanderia interna  Jardin  Parque Infantil  Desayunador  Patio  Garaje techado  Sala y Comedor  Area Social;NA;Casas en Alajuelita   Se vende Casa en Condominio Fenicia Alajuelita
11984117;;NA;;;Casas;NA;;6/10/2020;Guacima;;NA;NA;NA;;;;77213.11475409837;₡471,000;;;;;;"Provincia  ALAJUELA 
Canton  ALAJUELA 
Distrito  GUACIMA 
Direccion exacta  Rincon Chiquito  Condominio Malinches Filial 41
Folio Real  2 117346 F 000
Numero de plano  A 1754747 2014
Precio real  54 095 921 80
Precio en oferta  47 101 319 11
Descuento  12 93 
Area del terreno  100 06 m2
Area de construccion  100 06 m2
Distribucion  Planta Baja  Sala  Comedor  Cocina  2 Dormitorios  Bano  Area de Pilas  Patio  2 Espacios de Parqueo 
Observaciones  Hermoso condominio  ultimos apartamentos nuevos para estrenar en excelentes condiciones  se ubican en condominio vertical  el mismo cuenta con acceso principal tipo Boulevard  posee planta de tratamiento de aguas residuales  parque infantil  zona de rancho para actividades sociales  areas verdes  un unico acceso por portones metalicos y seguridad 24 7  El condominio se encuentra a 2 3 KM del centro de la Guacima "; Seguridad 24 Horas  Salon de fiestas  Jardin  Parque Infantil  Desayunador  Patio  Calle sin salida  Sala y Comedor  Area Social  Area de BBQ;NA;Casas en Guacima   Grupo Mutual vende Apartamentos nuevos en Cond  Malinches en la Guacima filial 41
12579647;;NA;balcon;2.5;Casas;240000;Escazu  San Rafael  Guachipelin  Loma Real ;9/10/2020;San Rafael;;NA;326;NA;4;si;;400000;1,226.99;;;3;;;"Condominio Residencial Monte Mar  Urbanizacion Loma Real  

La casa esta rodeada de jardin lo que la hace iluminada  fresca e independiente del vecino porque ademas las tapias son altas y dobles  es de facil acceso a la ruta 27  cerca de escuelas  supermercado  Multiplaza  bancos y restaurantes  

Detalles 

Terreno  468 m2 
Construccion  326 m2 
Area comun construida  106 10 m2 
Area comun libre  1 352 50 m2 

Primer piso 

Garage para 4 carros  bajo techo para dos y dos al aire libre  
Vestibulo 
Un medio bano 
Dos salas principales y comedor 
Cocina con desayunador 
Area de lavanderia 
Cuarto y bano de servicio 
Rancho y jardines  

Segundo Piso 

Sala de TV 
Cuarto principal con bano  vestidor y balcon 
Tres dormitorios secundarios 
Un bano secundario  

Detalles 

Piso de ceramica italiana 
Cocina con sobre de granito 
Piso de almendro en el segundo piso 
Bomba y tanque de agua para una semana 
Jardin con sistema de riego 
Casas separadas con tapias dobles con el vecino  
Valor de mantenimiento  240 000 que incluye jardinero  handyman por 6 horas cada 15 dias  

Area Comun 

Rancho  piscina temperada  calles de acceso y jardines  
Seguridad nocturna y de aguja a la entrada del barrio  

Venta  400 000";Cerca de Escuela;NA;Casas en San Rafael   Venta casa en condominio en Loma Real  Guachipelin  Escazu 
12930992;;NA;;2.5 3.5;Casas;NA;;30/10/2020;Curridabat;;NA;202;NA;2 8;;2;750000;1,666.66;;;3 4;;Porcelanato;"Se Vende Casa en Guachipelin de Escazu 


 Lote  147 76m2
 Construccion  202m2
 Anos de Construccion  3 Anos 
 3 Cuartos 
 2 Banos y Medio 
 Sala  Comedor  Cocina Amplia  Cochera para 2 Carros y 1 Moto
 Mueble de Cocina con madera de cenizaro 
 Lamparas Led de Lujo 
 Minibodega
 2 Terrazas
 1 Sala de Tv en el Segundo Nivel o bien se puede utilizar para Oficina 
 Cuarto de Pilas 
 Calentador para Duchas y Grifos en toda la casa 
 El Cuarto Principal con Walking Closet
 Sobres de Granito Exotico en la Cocina  Griferia de lujo 
 Techos altos  las Puertas son hechas a la medida porque son mas grandes del Standard 
 Llavines de Lujo 
 Puertas de Vidrio de Extralum marco Europa 
 Pisos de Porcelanato 
 Paredes Empastadas en Stucco Tipo Piamonte Marmoleado 
 Loza Sanitaria Franz Viegner 
 Escalera para acceso de mantenimiento a techos 
 Fachada Principal en Marmol Travertino 
 Valor agregado y Extras 
Sistema de Luces Inteligentes automatizado desde el Smart Phone 
Porton Electrico 
Cortina Electrica 
Cerca Electrica
Circuito cerrado de television 
Luces de Emergencia 
Sistema de Wifi en toda la casa 
Intercomunicador con Video Portero 
 A Minutos de MultiPlaza Escazu  Plaza Roble  Avenida Escazu  Terrazas de Lindora  Cines  Restaurantes  Bancos Privados y Publicos  Hospital Cima  Hospital Clinica Biblica  Forum I II  Auto Mercado  Fresh Market  Price Smart  Pequeno Mundo  Mount View School  Saint Mary School  West School  Blue Valley School  Construplaza y Mucho Mas 


Citas  8996 6333  8920 2756 Una excelente oportunidad para construir su vivienda atras y en frente establecer su negocio  oficina  clinica  restaurante o bien una torre de hasta siete pisos  

El lote mide 1 300 M2
Ubicado estrategicamente sobre carretera principal frente al Crossxfit Gym  garantizando exposicion optima en una zona de gran crecimiento 

Terreno totalmente plano con 25 metros de frente 

Actualmente posee una casa de 450 metros cuadrados en una sola planta 

Consta de 

4 dormitorios
3 5 banos 
Oficina
Sala de TV
Dos terrazas que dan al jardin que rodea toda la casa 
Cielo raso artesonado en areas sociales con madera Guanacaste

Precio de Oferta 750 000 negociable segun terminos de pago 

AA CV085 CRI";;NA;Casas en San Rafael   Casa Contemporanea en Guachipelin de Escazu Casas en Curridabat   GUAYABOS GRAN UBICACION   USO MIXTO CASA LOTE 1300 m2
13256737;;NA;;2;;NA;;;;;NA;800;NA;1;si;;NA;;4.77;;2;110000;;;Nevera  Microondas;NA;
13707929;;NA;;3.5;Casas;NA;;23/10/2020;Platanillo;;NA;250;NA;2;no;;NA;;;;5;;Ceramica;"Hermosa casa de dos pisos con maravillosos acabados ubicada frente a la carretera de asfalto y en una de las zonas mas bonitas de Perez Zeledon con vistas al pueblo  La Pradera es una comunidad muy tranquila  que le brinda mucha privacidad y facil acceso a la ciudad de San Isidro a tan solo 3 minutos  una ciudad altamente reconocida en la ultima decada por su vasto y rapido crecimiento y expansion  donde puede encuentre hospitales  tiendas  tiendas  escuelas  restaurantes  cines  bancos  etc     y a solo 45 minutos de la popular costa del Pacifico Sur  comenzando con playa Dominical  un lugar ideal para surfear con un alto nivel de turismo 

  Caracteristicas  5 habitaciones    3 5 banos    2 cocinas  Doble sala de estar   terrazas    Garaje doble para 4 autos 

Precio  219 000";Cerca de Escuela  Desayunador  Garaje techado;NA;Casas en San Isidro del General   Casa de dos pisos a la venta en barrio La Pradera
